# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 1)   2.346 us    |    } /* mutex_lock */
 1)               |  /* mutex_start */
 1)   0.191 us    |    mutex_unlock();
 1)   3.870 us    |  } /* do_syscall_64 */
 1)               |  do_syscall_64() {
 1)   0.214 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.199 us    |    mutex_unlock();
 1)   1.492 us    |  }
 1)               |  do_syscall_64() {
 1)   0.216 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.200 us    |    mutex_unlock();
 1)   1.528 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.199 us    |    mutex_unlock();
 1)   1.562 us    |  }
 1)               |  do_syscall_64() {
 1)   0.200 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.198 us    |    mutex_unlock();
 1)   1.529 us    |  }
 1)               |  do_syscall_64() {
 1)   0.201 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.191 us    |    mutex_unlock();
 1)   1.469 us    |  }
 1)               |  do_syscall_64() {
 1)   0.194 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.198 us    |    mutex_unlock();
 1)   1.469 us    |  }
 1)               |  do_syscall_64() {
 1)   0.193 us    |    mutex_lock();
 1)               |  /* mutex_stop */
 1)   0.193 us    |    mutex_unlock();
 1)   1.517 us    |  }
 1)               |  do_syscall_64() {
 1)   0.201 us    |    mutex_lock();
 1)               |  /* mutex_start */
 1)   0.210 us    |    mutex_unlock();
 1)   1.530 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.682 us    |          mutex_spin_on_owner();
 1)   0.591 us    |          mutex_spin_on_owner();
 1)   1.939 us    |        }
 1)   2.265 us    |      }
 1)   2.672 us    |    }
 1)               |  /* mutex_stop */
 1)   0.215 us    |    mutex_unlock();
 1)   4.036 us    |  }
 1)               |  do_syscall_64() {
 1)               |    mutex_lock() {
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 1)   0.470 us    |          mutex_spin_on_owner();
 1)   0.639 us    |          mutex_spin_on_owner();
 1)   1.812 us    |        }
 1)   2.151 us    |      }
 1)   2.537 us    |    }
 1)               |  /* mutex_start */
 1)   0.221 us    |    mutex_unlock();
